step,train_loss,val_loss,train_ppl,val_ppl
0,4.202601432800293,4.203721523284912,66.86003689391582,66.93496814209695
500,0.38810470700263977,0.3912199139595032,1.4741841336092425,1.4787836828321297
1000,0.35316962003707886,0.35660067200660706,1.4235725893913838,1.4284653297513805
1500,0.34596574306488037,0.3482646942138672,1.4133541978053001,1.4166071678391585
2000,0.3398938775062561,0.34284764528274536,1.4047985019326723,1.4089540847721174
2500,0.3362753987312317,0.3392747938632965,1.3997244540738554,1.4039290833076645
3000,0.3326897919178009,0.33604538440704346,1.394714579621872,1.3994025344239864
3500,0.3328857421875,0.3366991877555847,1.3949879010977362,1.4003177676456204
4000,0.3326605558395386,0.3363867998123169,1.3946738042333278,1.3998803935770139
4500,0.33092552423477173,0.33566784858703613,1.3922560991085522,1.3988743095588103
4999,0.3301595449447632,0.3333877921104431,1.3911900681012062,1.395688430501641
