step,train_loss,val_loss
0,3.749188184738159,3.746800422668457
500,0.35069340467453003,0.35525187849998474
1000,0.3379656970500946,0.34240782260894775
1500,0.3355322778224945,0.3399485647678375
2000,0.33238402009010315,0.337239533662796
2500,0.3325842320919037,0.3371792137622833
3000,0.3293716311454773,0.3355475664138794
3500,0.32860907912254333,0.336405873298645
4000,0.3271465301513672,0.33581504225730896
4500,0.32651421427726746,0.3354865610599518
4999,0.3237459659576416,0.33774203062057495
