step,train_loss,val_loss
0,3.694917678833008,3.695047616958618
500,0.37901437282562256,0.38238897919654846
1000,0.34115493297576904,0.3436658978462219
1500,0.33458438515663147,0.3371610641479492
2000,0.3313334286212921,0.33448565006256104
2500,0.33068645000457764,0.33436164259910583
3000,0.3309251666069031,0.3344026505947113
3500,0.3295387625694275,0.3336799144744873
4000,0.3295929431915283,0.333164244890213
4500,0.3277885317802429,0.3341871201992035
4999,0.32748138904571533,0.33401620388031006
